time,AT,CH,DE,FR,IT
0,5.142278441589858,4.46091848462864,18.24254836274211,17.052809388213067,17.046200308244746
1,5.209632597918666,4.529578628554219,18.09557512690469,16.873006683837986,17.21733643928677
2,5.60776683635167,4.884602350604595,19.811084006837554,18.477390608186706,18.710243881187015
3,6.69222004804679,5.694382018542618,24.356698470320723,22.859688722227354,22.527635656581314
4,9.303849350718604,7.95183143875988,33.505428304541255,31.406315071478936,31.239657585321357
5,9.675793119224956,8.211409646761147,35.314551892340866,33.30175070033324,33.19950722908863
6,9.556938958713463,8.05087864665759,34.89176476904417,32.864146127963735,32.58093464982816
7,9.576799680306843,8.103229174376176,35.16190030543525,33.03819884456805,32.58605293430644
8,9.247070767700762,7.871260680575264,33.2296862139023,31.21866926157848,31.17717503081987
9,8.884454920240914,7.575401903160374,31.75341874431447,29.785943300556717,29.835854407073487
10,8.541456696093954,7.303333170036189,30.38992407234735,28.48019163724856,28.591188265951512
11,8.364793326999497,7.168348057459892,29.74355136127305,27.75150927035559,27.848788581279056
12,8.309146965946349,7.143065125563696,29.463360840255103,27.513808839747234,27.760251621350104
13,8.312472422725918,7.153562368379362,29.550020059665755,27.46960255356896,27.699982097706254
14,8.38788003726522,7.248505968309599,29.97161018820355,28.000101168058613,28.074535890745263
15,8.700743651946874,7.493705401603197,31.320423668006264,29.144370944904278,29.20172017873411
16,8.91624386316511,7.65719731153613,32.2926699135394,30.173323424629757,29.9582339429767
17,9.010668656541178,7.70496484312998,32.89850806054975,30.742405489993253,30.406763654279036
18,8.972300275208893,7.628818241687714,33.15758802987558,31.03031562658312,30.439592628897366
19,8.770174696442698,7.440092575913953,32.65337290867562,30.620865093179454,29.934756103484197
20,8.088125284529779,6.8566550484517705,29.987375535219762,28.15501399537098,27.60686277960416
21,7.005966283297171,6.002993794356844,25.45063426698213,23.817059212844185,23.545895562452117
22,5.47291181932075,4.716976926716614,19.761957832828067,18.569763722849373,18.365959625210323
23,5.496243992636227,4.637175331238207,20.193114773345137,16.895438958807024,16.171484043856484
24,5.736589445224834,4.814066160666601,21.39139375783201,18.11614695968894,17.061537368837612
25,5.847080658348217,4.9110884437927975,21.753764657126506,18.022764966342088,17.166888933531368
26,6.282211327664528,5.273896163818487,23.47359506541521,19.66211824365957,18.74940932240707
27,7.3453491003929985,6.126655414739824,27.761102589409482,24.241228589869642,22.566801097801367
28,10.224930290297005,8.564757717033588,38.575043515199155,33.313868010312866,31.252203901413196
29,10.546479022619577,8.833982125444464,40.050489322768634,35.185489272172596,33.122440598205024
